,name,latitude,longitude,neg,pos
0,DipDipDip Tatsu-Ya,30.3487955,-97.7350656,0.047,0.21100000000000002
1,Thai Kun,30.4012943,-97.7227131,0.052000000000000005,0.182
2,Las Trancas,30.2598917959184,-97.7323643877551,0.036000000000000004,0.252
3,Juan In A Million,30.2553135,-97.7189553235907,0.042,0.213
4,Russian House,30.266036,-97.740239,0.061,0.218
5,P閼煎崒h閼硷拷,30.2669638,-97.7451698,0.039,0.314
6,Shake Shack,30.2363889,-97.7826467,0.071,0.19899999999999998
7,Chosun Korean BBQ,30.32991225,-97.70657035,0.045,0.21100000000000002
8,Vespaio Ristorante,30.247262,-97.750813,0.045,0.24
9,Korea House,30.3600531,-97.7348994,0.048,0.22699999999999998
10,Arpeggio Grill,30.3312136,-97.7151818,0.051,0.262
11,Flower Child,30.2659838,-97.7493412,0.039,0.242
12,Citizen Eatery,30.3216899016393,-97.739248,0.034,0.26
13,The Bonneville,30.264049,-97.746096,0.065,0.278
14,Nasha,30.2637439,-97.7248744,0.054000000000000006,0.24600000000000002
15,Baton Creole,30.265106,-97.731551,0.021,0.266
16,NeWorlDeli,30.306419,-97.73545,0.047,0.214
17,Halal Wings,30.3065143,-97.708064,0.053,0.26899999999999996
18,Lucky Robot,30.2385208,-97.7504602,0.049,0.225
19,Julio闁炽儲鐛� Caf閼硷拷,30.3045094,-97.7264373,0.04,0.27
20,Cipollina,30.280748,-97.758401,0.042,0.195
21,Nosh & Bevvy,30.366578,-97.728701,0.043,0.24600000000000002
22,Kitchen Window,30.3059645,-97.7151190841289,0.02,0.259
23,Kokodak,30.2898,-97.741577,0.036000000000000004,0.22
24,Glory Hole Hot Dogs,30.259229,-97.738899,0.071,0.23800000000000002
25,Chuy闁炽儲鐛�,30.2638237,-97.7632926,0.039,0.256
26,Gino闁炽儲鐛� Vino Osteria,30.3078234242424,-97.7073532121212,0.037000000000000005,0.303
27,L闁炽儲鈹塩a d闁炽儲鈹塺o,30.29727,-97.703849,0.044000000000000004,0.22399999999999998
28,The Backspace,30.266856,-97.740433,0.045,0.273
29,South Congress Cafe,30.278009,-97.739216,0.043,0.24600000000000002
30,Eureka!,30.267907,-97.741207,0.057999999999999996,0.26
31,Billy闁炽儲鐛� on Burnet,30.322005,-97.7398275218772,0.047,0.207
32,Galaxy Cafe,30.2794133,-97.7600581,0.061,0.22699999999999998
33,Mai Thai Restaurant,30.2643747,-97.7413623,0.040999999999999995,0.205
34,Halal Bros,30.2678473061224,-97.7387052244898,0.01,0.315
35,Colleen闁炽儲鐛� Kitchen,30.298633,-97.704363,0.048,0.297
36,Honduras Food,30.220502,-97.6946728165551,0.025,0.261
37,El Taquito,30.2478771,-97.7347662,0.048,0.198
38,Tiny Boxwoods,30.3060515,-97.7497533845195,0.07400000000000001,0.171
39,Pho Phong Lu闁炽儲鐛�,30.361418,-97.698249,0.038,0.264
40,Pappasito闁炽儲鐛� Cantina,38.75839,-85.8080251,0.077,0.191
41,Launderette,30.251874,-97.722751099569,0.033,0.257
42,Big Vinny闁炽儲鐛� Bbq,30.2385208,-97.7504602,0.06,0.065
43,Spicy Boys,30.2621507,-97.7245745,0.052000000000000005,0.3
44,Elotes Fanny,30.359877,-97.690346,0.0,0.261
45,DEE DEE,30.2315416,-97.7877719,0.028999999999999998,0.23800000000000002
46,She闁炽儲鐛� Not Here,30.26563,-97.748334,0.065,0.20199999999999999
47,Licha闁炽儲鐛� Cantina,30.2640705,-97.728797704993,0.045,0.23600000000000002
48,Iron Works Barbecue,30.261718,-97.739026,0.098,0.18100000000000002
49,La Traviata,30.265874,-97.74391,0.055,0.221
50,Daruma Ramen,30.2664876938776,-97.7369253877551,0.057,0.225
51,Woko Loco,30.30680295,-97.7105863050687,0.045,0.22699999999999998
52,Food Food,30.3042039,-97.7639981252746,0.038,0.22399999999999998
53,Caroline,30.268735,-97.742174,0.037000000000000005,0.324
54,Monk闁炽儲鐛� Momo,30.2584292,-97.7386658,0.027999999999999997,0.21899999999999997
55,Chez Nous,30.266484,-97.738509,0.03,0.273
56,24 Diner,30.271807,-97.754027,0.057,0.217
57,Hopdoddy Burger Bar,30.3153668,-97.7347286,0.071,0.183
58,Loro,30.2477798,-97.7712772,0.036000000000000004,0.24
59,Arlo闁炽儲鐛�,30.2696184,-97.7363666,0.07200000000000001,0.258
60,Bouldin Creek Cafe,30.2464855,-97.7567823840537,0.032,0.27699999999999997
61,Sa-Ten,30.310695,-97.7151758693468,0.025,0.23399999999999999
62,Hi Wings,30.3556658,-97.7349171783844,0.025,0.345
63,Uchi,30.2575513,-97.7597642,0.032,0.281
64,Sophia闁炽儲鐛�,30.2695332,-97.7475417,0.053,0.23399999999999999
65,Chi闁炽儲鈹哸ntro,30.2704483,-97.7416774,0.032,0.217
66,Yuyo,30.2840559,-97.721778,0.084,0.23
67,Eberly,30.2586146,-97.7587092752125,0.052000000000000005,0.254
68,Ky閼规姲en Sushiko,30.299483,-97.708043,0.024,0.249
69,Nervous Charlie闁炽儲鐛�,30.323263,-97.7275775,0.047,0.253
70,Sway,30.250154,-97.754683,0.038,0.23
71,Uchiko,30.3107699,-97.7398856,0.039,0.23800000000000002
72,Contigo,30.2878053,-97.7033737,0.042,0.235
73,Pokeatery,30.30680295,-97.7105863050687,0.019,0.39299999999999996
74,Domo Alley Gato,30.263155,-97.725919,0.062,0.22699999999999998
75,Juniper,30.2558955,-97.7317072,0.06,0.231
76,Taste of Ethiopia,30.226028,-97.761894,0.027999999999999997,0.285
77,Vamonos,30.308543,-97.715374,0.028999999999999998,0.316
78,Bufalina,30.2558955,-97.7317072,0.045,0.23399999999999999
79,Pinthouse Pizza,30.2361072,-97.7958917,0.018000000000000002,0.278
80,Parkside,30.267202,-97.740299,0.049,0.225
81,Honest Mary闁炽儲鐛�,30.39454305,-97.7475806021796,0.066,0.225
82,CAVA,30.288551,-97.741762,0.040999999999999995,0.307
83,Garrison,30.261987,-97.738627,0.013000000000000001,0.304
84,Chi闁炽儲鈹哸ntro,30.324299,-97.740202,0.040999999999999995,0.262
85,Oseyo,30.25837,-97.7276128394737,0.055,0.303
86,Boteco,30.264107,-97.7301343282736,0.023,0.34700000000000003
87,Bun Belly,30.3111895,-97.7150807473152,0.038,0.225
88,Austin Taco Project,30.265065,-97.738623,0.035,0.27
89,Country Boyz Fixins,30.2792485,-97.6871767,0.0,0.326
90,Tommy Want Wingy,30.2606703,-97.7382659,0.033,0.273
91,Kemuri Tatsu-ya,30.2538348,-97.7129409269258,0.043,0.235
92,Barley Swine,30.3410897,-97.7383417,0.036000000000000004,0.242
93,North Italia,30.2659838,-97.7493412,0.031,0.261
94,Three Little Pigs,30.340303,-97.73856,0.027999999999999997,0.213
95,Red Ash,30.2658551,-97.7446626872605,0.038,0.28300000000000003
96,Olive & June,30.3071215,-97.7511345665323,0.038,0.27399999999999997
97,Brama Restaurant,30.366347,-97.739207,0.019,0.326
98,Turf N Surf Po闁炽儻鎷� Boy,30.267011877551,-97.7457231836735,0.084,0.214
99,Ramen Tatsu-Ya,30.361094,-97.7156191,0.055,0.212
100,Justine闁炽儲鐛� Brasserie,30.2532275,-97.7005505,0.045,0.225
101,The Brewer闁炽儲鐛� Table,30.2528045,-97.7021935,0.022000000000000002,0.32
102,Clark闁炽儲鐛� Oyster Bar,30.272986,-97.7571836468532,0.053,0.285
103,Phoebe闁炽儲鐛� Diner,30.241667,-97.759531,0.052000000000000005,0.244
104,Kome Sushi Kitchen,30.3140693,-97.7145135,0.034,0.242
105,Wu Chow,30.2686128,-97.7478966,0.071,0.209
106,Cabo Bob闁炽儲鐛� Burritos,30.2957196,-97.7441221,0.063,0.218
107,Saffron,30.3549924,-97.7556362,0.027000000000000003,0.29100000000000004
108,Poke-Poke,30.3255575,-97.7433519908854,0.047,0.264
109,Mount 8k,30.292982,-97.741777,0.043,0.271
110,Insennity,30.286255,-97.742508,0.012,0.258
111,Taco Joint,30.25636,-97.7455280048905,0.052000000000000005,0.244
112,Abo Youssef,30.2839428,-97.7198706,0.024,0.316
113,Michi Ramen,30.3333175,-97.7213160218922,0.028999999999999998,0.20199999999999999
114,Anthem,30.260205,-97.738154,0.054000000000000006,0.115
115,Lavaca Teppan,30.280047,-97.741351,0.035,0.247
116,Suerte,30.262285,-97.723315,0.06,0.24
117,Bar Peached,30.273547,-97.7600205,0.044000000000000004,0.278
118,Tuk Tuk Thai Cafe,30.2159413,-97.7967502,0.044000000000000004,0.22399999999999998
119,El Alma,30.2600445,-97.7556269728536,0.027000000000000003,0.262
120,Pinthouse Pizza,30.3187523,-97.7390631,0.055,0.213
121,The Carillon,30.281546,-97.740129,0.02,0.262
122,Bacchus and Brown,30.273926,-97.720373,0.026000000000000002,0.263
123,la Barbecue,30.256209,-97.722419,0.071,0.192
124,Taco Joint,30.2901942653061,-97.7343885918367,0.024,0.254
125,Wholly Cow,30.2430405121951,-97.7833274146341,0.036000000000000004,0.233
126,Hula Hut,30.2954347,-97.7842475,0.094,0.18100000000000002
127,Austin Rotisserie,30.254055,-97.697443122807,0.013999999999999999,0.314
128,Julie闁炽儲鐛� Noodles,30.361094,-97.7156191,0.071,0.20199999999999999
129,Sala and Betty,30.313126,-97.7147609895833,0.039,0.24
130,Jeffrey闁炽儲鐛�,30.280472,-97.75919,0.06,0.217
131,Casa Colombia,30.260805,-97.714827,0.059000000000000004,0.26
132,Picnik,30.318904,-97.738972,0.024,0.284
133,Swift闁炽儲鐛� Attic,30.2656512,-97.7434652,0.03,0.265
134,The Beer Plant,30.296671,-97.767776,0.055999999999999994,0.212
135,Ramen Tatsu-Ya,30.2631486,-97.7263132,0.031,0.302
136,Lebowski闁炽儲鐛� Grill,30.371883,-97.7256716428662,0.049,0.226
137,Home Slice Pizza,30.3158815,-97.7185004250408,0.039,0.231
138,Dragonbeard Kitchen,30.3306335,-97.6672142903226,0.027999999999999997,0.266
139,Barlata Tapas Bar,30.2523316,-97.7644892,0.040999999999999995,0.228
140,East Side King,30.2475144,-97.7747477,0.064,0.25
141,Hopfields,30.2985824,-97.7410143,0.051,0.226
142,Halal Bros,30.2925115,-97.741648237069,0.044000000000000004,0.21
143,Be More Pacific,30.360769,-97.7414743654891,0.033,0.249
144,TLC Austin,30.255582,-97.7623936,0.065,0.213
145,Chi闁炽儲鈹哸ntro,30.2519483,-97.7638701,0.048,0.23600000000000002
146,Kismet Cafe,30.300489,-97.7198102,0.022000000000000002,0.345
147,Crepe Crazy,30.241613,-97.78471,0.054000000000000006,0.29100000000000004
148,Tumble 22,30.3479814,-97.7354088,0.071,0.196
149,Tan My Restaurant,30.363657,-97.7147413,0.031,0.195
150,68 Degrees Kitchen,30.277866,-97.772904,0.036000000000000004,0.297
151,Counter Culture,30.2546473,-97.7179015,0.039,0.262
152,Botticelli闁炽儲鐛�,30.250342,-97.749143,0.031,0.278
153,Roaring Fork,30.40088475,-97.7378413036182,0.044000000000000004,0.243
154,T22 Chicken Joint,30.3479814,-97.7354088,0.061,0.209
155,MezzeMe,30.315825,-97.732851,0.04,0.318
156,The Hightower,30.2648345,-97.7294720770042,0.035,0.25
157,Culinary Dropout,30.4011258,-97.7230343,0.037000000000000005,0.267
158,Bird Bird Biscuit,30.284812,-97.7139617565447,0.032,0.278
159,Easy Tiger,30.2658668,-97.7356652,0.054000000000000006,0.266
160,Jewboy Burgers,30.321172,-97.7395328749047,0.027000000000000003,0.325
161,Odd Duck,30.2548555318471,-97.762309933121,0.05,0.271
162,Uncle Nicky闁炽儲鐛�,30.304361,-97.726521,0.025,0.337
163,Ramen Tatsu-Ya,30.253956,-97.763274,0.044000000000000004,0.20600000000000002
164,Fabi + Rosi,30.2789432,-97.7726434618644,0.032,0.29100000000000004
165,Heo Eatery,30.330854,-97.723532,0.031,0.27
166,Patrizi闁炽儲鐛�,30.283723,-97.7174136215259,0.034,0.26
167,Roaring Fork,30.269055,-97.741973,0.031,0.28800000000000003
168,Koriente,30.2670555,-97.7359806,0.035,0.273
169,Clay Pit,30.2790333,-97.7423871,0.026000000000000002,0.23600000000000002
170,Franklin Barbecue,30.270113,-97.7312660048544,0.046,0.20800000000000002
171,Salty Sow,30.283795,-97.721271,0.04,0.28
