,name,address,date,neg,neu,pos
0,DipDipDip Tatsu-Ya,"
        7301 Burnet Rd Ste 101 Austin, TX 78757
    ","
        7/14/2019
    ",0.047,0.742,0.211
1,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        4/4/2017
    ",0.037,0.709,0.254
2,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        7/5/2016
    ",0.032,0.752,0.216
3,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/30/2017
    ",0.034,0.723,0.243
4,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/5/2018
    ",0.058,0.713,0.229
5,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        4/19/2017
    ",0.051,0.705,0.244
6,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/19/2017
    ",0.055,0.697,0.248
7,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        10/21/2018
    ",0.04,0.737,0.223
8,Austin Daily Press,"
        1900 E Martin Luther King Blvd B Austin, TX 78702
    ","
        1/30/2018
    ",0.047,0.693,0.261
9,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        6/18/2015
    ",0.047,0.719,0.234
10,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        10/1/2013
    ",0.078,0.751,0.171
11,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        10/5/2015
            ",0.057,0.744,0.199
12,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        11/30/2015
    ",0.058,0.742,0.2
13,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        4/22/2016
    ",0.049,0.713,0.238
14,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        4/14/2017
    ",0.063,0.706,0.23
15,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        7/11/2017
    ",0.031,0.682,0.287
16,Lupe Tortilla,"
        701 S Capital Of Texas Hwy Ste K Austin, TX 78746
    ","
        8/28/2018
    ",0.065,0.754,0.181
17,Workhorse Bar,"
        100 N Loop Blvd E Ste B Austin, TX 78751
    ","
        3/17/2015
    ",0.038,0.68,0.282
